Aluno: Vitor Allace Marques Costa		6 periodo - BCC 2023

PID	|	EXEC	|	TP	|	CP	|	NES	|	nCPU
5		8000		620		621		31		32
5		8000		620		621		32		32
6		2000		389		390		31		31
6		2000		395		396		31		32
6		2000		395		396		32		32
7		5000		444		445		31		31
7		5000		526		527		31		32
7		5000		526		527		32		32
8		4000		451		452		31		31
8		4000		456		457		31		32
8		4000		456		457		32		32
9		10000		635		636		31		31
9		10000		681		682		31		32
9		10000		681		682		32		32
0		10000		491		492		32		32
0		10000		494		495		32		33
0		10000		494		495		33		33
1		5000		533		534		32		32
1		5000		548		549		32		33
1		5000		548		549		33		33
2		7000		525		526		32		32
2		7000		528		529		32		33
2		7000		528		529		33		33
3		3000		530		531		32		32
3		3000		535		536		32		33
3		3000		535		536		33		33
4		3000		650		651		32		32
4		3000		658		659		32		33
4		3000		658		659		33		33
5		8000		620		621		32		32
5		8000		667		668		32		33
5		8000		667		668		33		33
6		2000		395		396		32		32
6		2000		397		398		32		33
6		2000		397		398		33		33
7		5000		526		527		32		32
7		5000		535		536		32		33
7		5000		535		536		33		33
8		4000		456		457		32		32
8		4000		466		467		32		33
8		4000		466		467		33		33
9		10000		681		682		32		32
9		10000		684		685		32		33
9		10000		684		685		33		33
0		10000		494		495		33		33
0		10000		496		497		33		34
0		10000		496		497		34		34
1		5000		548		549		33		33
1		5000		556		557		33		34
1		5000		556		557		34		34
2		7000		528		529		33		33
2		7000		531		532		33		34
2		7000		531		532		34		34
3		3000		535		536		33		33
3		3000		565		566		33		34
3		3000		565		566		34		34
4		3000		658		659		33		33
4		3000		664		665		33		34
4		3000		664		665		34		34
5		8000		667		668		33		33
5		8000		670		671		33		34
5		8000		670		671		34		34
6		2000		397		398		33		33
6		2000		404		405		33		34
6		2000		404		405		34		34
7		5000		535		536		33		33
7		5000		553		554		33		34
7		5000		553		554		34		34
8		4000		466		467		33		33
8		4000		491		492		33		34
8		4000		491		492		34		34
9		10000		684		685		33		33
9		10000		694		695		33		34
9		10000		694		695		34		34
0		10000		496		497		34		34
0		10000		512		513		34		35
0		10000		512		513		35		35
1		5000		556		557		34		34
1		5000		563		564		34		35
1		5000		563		564		35		35
2		7000		531		532		34		34
2		7000		544		545		34		35
2		7000		544		545		35		35
3		3000		565		566		34		34
3		3000		576		577		34		35
3		3000		576		577		35		35
4		3000		664		665		34		34
4		3000		688		689		34		35
4		3000		688		689		35		35
5		8000		670		671		34		34
5		8000		684		685		34		35
